ASSENTOS_SALA;ASSENTOS_CADEIRANTES;ASSENTOS_MOBILIDADE_REDUZIDA;ASSENTOS_OBESIDADE;ACESSO_ASSENTOS_COM_RAMPA;ACESSO_SALA_COM_RAMPA;BANHEIROS_ACESSIVEIS;NOME_COMPLEXO;MUNICIPIO_COMPLEXO;UF_COMPLEXO;NOME_EXIBIDOR
194;4;8;20;SIM;NÃO;SIM;CINE SHOW AGULHAS NEGRAS;RESENDE;RJ;JUBARTE FILMES LTDA-ME
243;4;4;20;SIM;NÃO;SIM;CINE SHOW VOLTA REDONDA;VOLTA REDONDA;RJ;TATU FILMES LTDA
194;3;3;20;SIM;NÃO;SIM;CINE SHOW VOLTA REDONDA;VOLTA REDONDA;RJ;TATU FILMES LTDA
142;3;3;20;SIM;NÃO;SIM;CINE SHOW VOLTA REDONDA;VOLTA REDONDA;RJ;TATU FILMES LTDA
106;2;2;20;SIM;NÃO;NÃO;CINE SHOW VOLTA REDONDA;VOLTA REDONDA;RJ;TATU FILMES LTDA
82;2;2;20;SIM;NÃO;SIM;CINE SHOW VOLTA REDONDA;VOLTA REDONDA;RJ;TATU FILMES LTDA
178;2;1;20;NÃO;SIM;NÃO;CINE SHOW CRUZEIRO;CRUZEIRO;SP;TATU FILMES LTDA
123;2;1;20;SIM;SIM;NÃO;CINE SHOW CRUZEIRO;CRUZEIRO;SP;TATU FILMES LTDA
118;2;1;20;SIM;SIM;NÃO;CINE SHOW CRUZEIRO;CRUZEIRO;SP;TATU FILMES LTDA
315;6;6;18;NÃO;NÃO;SIM;CINEART CONTAGEM;CONTAGEM;MG;DELTA FILMES LTDA
282;6;6;17;SIM;NÃO;SIM;CINEART CONTAGEM;CONTAGEM;MG;DELTA FILMES LTDA
180;12;8;16;SIM;NÃO;SIM;SERRA CINE;NOVA SERRANA;MG;SERRA CINE LTDA.
427;6;1;16;SIM;NÃO;NÃO;CINEPLUS JARDIM AMÉRICA;CURITIBA;PR;CINEPLUS PRODUÇÕES ARTISTICAS E CINEMA LTDA
245;7;15;15;SIM;NÃO;SIM;CENTERPLEX MACEIÓ;MACEIÓ;AL;EMPRESA CENTERPLEX DE CINEMAS LTDA
312;8;8;15;NÃO;SIM;SIM;CENTERPLEX VIA SUL SHOPPING;FORTALEZA;CE;EMPRESA DE CINEMAS FORTALEZA LTDA
115;2;1;15;SIM;SIM;NÃO;MOVIELAND CINEMAS;MACAPÁ;AP;J J DE M SILVA
