ASSENTOS_SALA;ASSENTOS_CADEIRANTES;ASSENTOS_MOBILIDADE_REDUZIDA;ASSENTOS_OBESIDADE;ACESSO_ASSENTOS_COM_RAMPA;ACESSO_SALA_COM_RAMPA;BANHEIROS_ACESSIVEIS;NOME_COMPLEXO;MUNICIPIO_COMPLEXO;UF_COMPLEXO;NOME_EXIBIDOR
307;6;3;3;SIM;NÃO;SIM;727 CINEMARK VILLA LOBOS;SÃO PAULO;SP;CINEMARK BRASIL S.A
305;6;3;3;SIM;NÃO;SIM;CINÉPOLIS NORTE SUL;CAMPO GRANDE;MS;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
305;6;3;3;SIM;NÃO;SIM;UCI ORIENT - SHOPPING CENTER PARALELA;SALVADOR;BA;UCI-ORIENT LTDA
304;6;3;3;SIM;NÃO;SIM;UCI ORIENT - SHOPPING CENTER PARALELA;SALVADOR;BA;UCI-ORIENT LTDA
302;6;3;3;SIM;NÃO;SIM;718 CINEMARK TAGUATINGA.;BRASÍLIA;DF;CINEMARK BRASIL S.A
302;6;3;3;NÃO;NÃO;SIM;UCI BRASIL-SHOPPING BOSQUE DOS IPÊS;CAMPO GRANDE;MS;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
301;6;3;3;SIM;NÃO;SIM;CINEPOLIS ALPHAVILLE VIP;BARUERI;SP;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
300;6;3;3;NÃO;NÃO;SIM;UCI BRASIL-SHOPPING BOSQUE DOS IPÊS;CAMPO GRANDE;MS;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
300;6;3;3;SIM;NÃO;SIM;UCI BRASIL - ANALIA FRANCO;SÃO PAULO;SP;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
299;6;3;3;SIM;NÃO;SIM;2101 CINEMARK SHOPPING UBERLÂNDIA;UBERLÂNDIA;MG;CINEMARK BRASIL S.A
298;6;3;3;NÃO;NÃO;SIM;MULTIPLEX PARK LAGOS;CABO FRIO;RJ;MSA EMPRESA CINEMATOGRÁFICA LTDA
297;6;3;3;SIM;NÃO;SIM;715 CINEMARK ELDORADO;SÃO PAULO;SP;CINEMARK BRASIL S.A
295;6;3;3;SIM;NÃO;SIM;CINÉPOLIS NORTH SHOPPING JÓQUEI;FORTALEZA;CE;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
294;6;3;3;SIM;SIM;NÃO;UCI METROPOLE;SÃO BERNARDO DO CAMPO;SP;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
291;6;3;3;NÃO;NÃO;NÃO;CINEPOLIS ESTAÇAO BH;BELO HORIZONTE;MG;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
291;6;3;3;SIM;NÃO;SIM;UCI BRASIL SHOPPING PARANGABA CE;FORTALEZA;CE;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
289;6;3;3;SIM;NÃO;SIM;709 CINEMARK PRAIAMAR;SANTOS;SP;CINEMARK BRASIL S.A
289;6;3;3;SIM;NÃO;SIM;699 CINEMARK CENTER NORTE;SÃO PAULO;SP;CINEMARK BRASIL S.A
288;6;3;3;SIM;NÃO;SIM;UCI BRASIL - PALLADIUM SHOPPING;CURITIBA;PR;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
288;6;3;3;SIM;NÃO;SIM;UCI BRASIL - NEW YORK;RIO DE JANEIRO;RJ;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
287;6;3;3;SIM;NÃO;SIM;UCI BRASIL - SHOPPING CENTER RIBEIRÃO PRETO;RIBEIRÃO PRETO;SP;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
287;6;3;3;SIM;NÃO;SIM;UCI ORIENT - SHOPPING CENTER PARALELA;SALVADOR;BA;UCI-ORIENT LTDA
286;6;3;3;SIM;NÃO;SIM;CINÉPOLIS RIOMAR;FORTALEZA;CE;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
284;6;3;3;SIM;NÃO;SIM;719 CINEMARK DOWNTOWN;RIO DE JANEIRO;RJ;CINEMARK BRASIL S.A
284;6;3;3;NÃO;NÃO;SIM;UCI ORIENT SHOPPING DA BAHIA;SALVADOR;BA;UCI-ORIENT LTDA
284;6;3;3;SIM;NÃO;SIM;UCI BRASIL - ANALIA FRANCO;SÃO PAULO;SP;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
282;6;3;3;SIM;NÃO;SIM;UCI BRASIL - NEW YORK;RIO DE JANEIRO;RJ;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
282;6;3;3;SIM;NÃO;SIM;KINOPLEX NOVA AMÉRICA;RIO DE JANEIRO;RJ;EMPRESA CINEMAS SÃO LUIZ S/A
281;6;3;3;SIM;NÃO;SIM;UCI BRASIL - PALLADIUM SHOPPING;CURITIBA;PR;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
281;6;3;3;NÃO;NÃO;SIM;UCI ORIENT SHOPPING DA BAHIA;SALVADOR;BA;UCI-ORIENT LTDA
279;6;3;3;SIM;NÃO;SIM;CINEPOLIS SANTA ÚRSULA;RIBEIRÃO PRETO;SP;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
279;6;3;3;SIM;SIM;SIM;CINESESC;SÃO PAULO;SP;SERVICO SOCIAL DO COMERCIO - SESC - ADMINISTRACAO REGIONAL NO ESTADO DE SAO PAULO
278;6;3;3;SIM;NÃO;SIM;681 CINEMARK NATAL;NATAL;RN;CINEMARK BRASIL S.A
278;6;3;3;SIM;NÃO;SIM;684 CINEMARK SANTA CRUZ.;SÃO PAULO;SP;CINEMARK BRASIL S.A
277;6;3;3;SIM;NÃO;NÃO;CINEPOLIS PARQUE BELÉM;BELÉM;PA;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
277;6;3;3;SIM;NÃO;SIM;687 CINEMARK SHOPPING D;SÃO PAULO;SP;CINEMARK BRASIL S.A
275;6;3;3;SIM;NÃO;SIM;661 CINEMARK CAPIM DOURADO.;PALMAS;TO;CINEMARK BRASIL S.A
275;6;3;3;SIM;NÃO;SIM;2132 CINEMARK SHOPPING IGUATEMI SP;SÃO PAULO;SP;CINEMARK BRASIL S.A
270;6;3;3;SIM;NÃO;SIM;CINÉPOLIS PONTE NEGRA - MANAUS;MANAUS;AM;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
268;6;3;3;SIM;NÃO;SIM;UCI BRASIL - NEW YORK;RIO DE JANEIRO;RJ;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
268;6;3;3;SIM;NÃO;SIM;711 CINEMARK TATUAPE;SÃO PAULO;SP;CINEMARK BRASIL S.A
265;6;3;3;SIM;NÃO;SIM;UCI BRASIL - PALLADIUM SHOPPING;CURITIBA;PR;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
265;6;3;3;NÃO;NÃO;SIM;UCI ORIENT SHOPPING DA BAHIA;SALVADOR;BA;UCI-ORIENT LTDA
265;6;3;3;SIM;NÃO;SIM;687 CINEMARK SHOPPING D;SÃO PAULO;SP;CINEMARK BRASIL S.A
264;6;3;3;NÃO;NÃO;SIM;UCI RIBEIRO - SHOPPING CENTER RECIFE;RECIFE;PE;UCI RIBEIRO LTDA
264;6;3;3;SIM;NÃO;SIM;682 CINEMARK CIDADE JARDIM;SÃO PAULO;SP;CINEMARK BRASIL S.A
263;6;3;3;SIM;NÃO;SIM;UCI BRASIL - PALLADIUM SHOPPING;CURITIBA;PR;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
262;6;3;3;SIM;SIM;NÃO;UCI MANAUARA;MANAUS;AM;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
262;6;3;3;SIM;NÃO;SIM;716 CINEMARK ARICANDUVA;SÃO PAULO;SP;CINEMARK BRASIL S.A
261;6;3;3;SIM;NÃO;SIM;716 CINEMARK ARICANDUVA;SÃO PAULO;SP;CINEMARK BRASIL S.A
255;6;3;3;SIM;NÃO;SIM;716 CINEMARK ARICANDUVA;SÃO PAULO;SP;CINEMARK BRASIL S.A
254;6;3;3;SIM;NÃO;SIM;UCI RIBEIRO - SHOPPING CENTER IGUATEMI FORTALEZA;FORTALEZA;CE;UCI RIBEIRO LTDA
252;6;3;3;SIM;NÃO;SIM;CINE REPUBLICA IPIRANGA;SÃO PAULO;SP;EMPRESA CINEMATOGRÁFICA REPUBLICA LTDA
249;6;3;3;SIM;NÃO;SIM;706 CINEMARK ARACAJU;ARACAJU;SE;CINEMARK BRASIL S.A
248;6;3;3;SIM;NÃO;SIM;GNC PRAIA DE BELAS;PORTO ALEGRE;RS;PRAIA DE BELAS EMPREENDIMENTOS CINEMATOGRÁFICOS LTDA
245;6;3;3;SIM;NÃO;SIM;709 CINEMARK PRAIAMAR;SANTOS;SP;CINEMARK BRASIL S.A
243;6;3;3;SIM;NÃO;SIM;697 CINEMARK SAVASSI.;BELO HORIZONTE;MG;CINEMARK BRASIL S.A
242;6;3;3;SIM;NÃO;SIM;2133 CINEMARK FLAMBOYANT;GOIÂNIA;GO;CINEMARK BRASIL S.A
239;6;3;3;SIM;NÃO;SIM;726 CINEMARK RIBEIRÃO PRETO;RIBEIRÃO PRETO;SP;CINEMARK BRASIL S.A
234;6;3;3;SIM;NÃO;SIM;691 CINEMARK NITEROI;NITERÓI;RJ;CINEMARK BRASIL S.A
228;6;3;3;SIM;NÃO;SIM;709 CINEMARK PRAIAMAR;SANTOS;SP;CINEMARK BRASIL S.A
223;6;3;3;SIM;NÃO;SIM;697 CINEMARK SAVASSI.;BELO HORIZONTE;MG;CINEMARK BRASIL S.A
218;6;3;3;SIM;NÃO;SIM;681 CINEMARK NATAL;NATAL;RN;CINEMARK BRASIL S.A
215;6;3;3;SIM;NÃO;SIM;UCI PARK SHOPPING CANOAS;CANOAS;RS;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
209;6;3;3;SIM;NÃO;SIM;768 CINEMARK BH SHOPPING;BELO HORIZONTE;MG;CINEMARK BRASIL S.A
209;6;3;3;SIM;NÃO;SIM;710 CINEMARK SP MARKET;SÃO PAULO;SP;CINEMARK BRASIL S.A
198;6;3;3;SIM;NÃO;SIM;715 CINEMARK ELDORADO;SÃO PAULO;SP;CINEMARK BRASIL S.A
187;6;3;3;SIM;NÃO;SIM;715 CINEMARK ELDORADO;SÃO PAULO;SP;CINEMARK BRASIL S.A
186;6;3;3;SIM;NÃO;SIM;715 CINEMARK ELDORADO;SÃO PAULO;SP;CINEMARK BRASIL S.A
158;6;3;3;SIM;NÃO;SIM;715 CINEMARK ELDORADO;SÃO PAULO;SP;CINEMARK BRASIL S.A
152;6;3;3;SIM;NÃO;SIM;715 CINEMARK ELDORADO;SÃO PAULO;SP;CINEMARK BRASIL S.A
147;6;3;3;SIM;NÃO;SIM;715 CINEMARK ELDORADO;SÃO PAULO;SP;CINEMARK BRASIL S.A
376;5;3;3;SIM;NÃO;SIM;706 CINEMARK ARACAJU;ARACAJU;SE;CINEMARK BRASIL S.A
355;5;3;3;SIM;NÃO;SIM;785 CINEMARK SALVADOR;SALVADOR;BA;CINEMARK BRASIL S.A
332;5;3;3;SIM;NÃO;SIM;2100 CINEMARK PARK SHOPPING SÃO CAETANO;SÃO CAETANO DO SUL;SP;CINEMARK BRASIL S.A
327;5;3;3;SIM;NÃO;SIM;717 CINEMARK TAMBORE.;BARUERI;SP;CINEMARK BRASIL S.A
299;5;3;3;SIM;NÃO;SIM;681 CINEMARK NATAL;NATAL;RN;CINEMARK BRASIL S.A
299;5;3;3;SIM;NÃO;SIM;684 CINEMARK SANTA CRUZ.;SÃO PAULO;SP;CINEMARK BRASIL S.A
288;5;3;3;SIM;NÃO;SIM;718 CINEMARK TAGUATINGA.;BRASÍLIA;DF;CINEMARK BRASIL S.A
279;5;3;3;NÃO;NÃO;NÃO;662 CINEMARK SHOPPING RAPOSO TAVARES;SÃO PAULO;SP;CINEMARK BRASIL S.A
279;5;3;3;SIM;NÃO;SIM;662 CINEMARK SHOPPING RAPOSO TAVARES;SÃO PAULO;SP;CINEMARK BRASIL S.A
277;5;3;3;SIM;NÃO;SIM;785 CINEMARK SALVADOR;SALVADOR;BA;CINEMARK BRASIL S.A
272;5;3;3;SIM;NÃO;SIM;KINOPLEX NOVA AMÉRICA;RIO DE JANEIRO;RJ;EMPRESA CINEMAS SÃO LUIZ S/A
270;5;3;3;SIM;NÃO;SIM;725 CINEMARK CAMPINAS;CAMPINAS;SP;CINEMARK BRASIL S.A
269;5;3;3;SIM;NÃO;SIM;725 CINEMARK CAMPINAS;CAMPINAS;SP;CINEMARK BRASIL S.A
264;5;3;3;SIM;NÃO;SIM;CINÉPOLIS NORTH SHOPPING JÓQUEI;FORTALEZA;CE;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
264;5;3;3;NÃO;NÃO;NÃO;CINÉPOLIS NORTH SHOPPING JÓQUEI;FORTALEZA;CE;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
262;5;3;3;NÃO;NÃO;SIM;CINÉPOLIS CARAPICUIBA;CARAPICUÍBA;SP;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
259;5;3;3;SIM;NÃO;SIM;UCI BRASIL - PALLADIUM SHOPPING;CURITIBA;PR;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
258;5;3;3;SIM;NÃO;NÃO;UCI BRASIL - PALLADIUM SHOPPING;CURITIBA;PR;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
258;5;3;3;SIM;NÃO;SIM;2103 CINEMARK MOOCA PLAZA SHOPPING;SÃO PAULO;SP;CINEMARK BRASIL S.A
258;5;3;3;SIM;NÃO;SIM;CINÉPOLIS IGUATEMI ESPLANADA;VOTORANTIM;SP;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
257;5;3;3;SIM;NÃO;SIM;CINÉPOLIS JOCKEY PLAZA SHOPPING;CURITIBA;PR;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
254;5;3;3;SIM;NÃO;SIM;UCI BRASIL - SHOPPING BOSQUE GRÃO PARÁ;BELÉM;PA;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
254;5;3;3;NÃO;NÃO;NÃO;CINE RITZ PARÁ DE MINAS;PARÁ DE MINAS;MG;CINE RITZ PARÁ DE MINAS LTDA.
253;5;3;3;SIM;NÃO;SIM;688 CINEMARK MARKET PLACE;SÃO PAULO;SP;CINEMARK BRASIL S.A
253;5;3;3;SIM;NÃO;SIM;684 CINEMARK SANTA CRUZ.;SÃO PAULO;SP;CINEMARK BRASIL S.A
252;5;3;3;SIM;NÃO;SIM;CINÉPOLIS AMAPÁ GARDEN SHOPING;MACAPÁ;AP;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
252;5;3;3;SIM;NÃO;SIM;CINÉPOLIS IGUATEMI ESPLANADA;VOTORANTIM;SP;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
251;5;3;3;SIM;SIM;NÃO;UCI PLAZA SUL;SÃO PAULO;SP;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
250;5;3;3;NÃO;NÃO;NÃO;CINE RITZ PARÁ DE MINAS;PARÁ DE MINAS;MG;CINE RITZ PARÁ DE MINAS LTDA.
249;5;3;3;NÃO;NÃO;NÃO;CINE RITZ PARÁ DE MINAS;PARÁ DE MINAS;MG;CINE RITZ PARÁ DE MINAS LTDA.
249;5;3;3;SIM;NÃO;SIM;704 CINEMARK BARRA SUL;PORTO ALEGRE;RS;CINEMARK BRASIL S.A
248;5;3;3;NÃO;NÃO;NÃO;CINÉPOLIS RIOMAR;FORTALEZA;CE;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
247;5;3;3;SIM;NÃO;SIM;MULTIPLEX VOLTA REDONDA;VOLTA REDONDA;RJ;MSA EMPRESA CINEMATOGRÁFICA LTDA
246;5;3;3;SIM;NÃO;SIM;2101 CINEMARK SHOPPING UBERLÂNDIA;UBERLÂNDIA;MG;CINEMARK BRASIL S.A
245;5;3;3;SIM;NÃO;SIM;2100 CINEMARK PARK SHOPPING SÃO CAETANO;SÃO CAETANO DO SUL;SP;CINEMARK BRASIL S.A
244;5;3;3;SIM;NÃO;SIM;687 CINEMARK SHOPPING D;SÃO PAULO;SP;CINEMARK BRASIL S.A
243;5;3;3;SIM;NÃO;SIM;697 CINEMARK SAVASSI.;BELO HORIZONTE;MG;CINEMARK BRASIL S.A
241;5;3;3;SIM;NÃO;SIM;CINÉPOLIS SHOPPING CERRADO;GOIÂNIA;GO;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
240;5;3;3;SIM;SIM;NÃO;CINE A CONTINENTAL;SÃO PAULO;SP;CINE A LTDA
239;5;3;3;SIM;NÃO;SIM;721 CINEMARK HIGIENOPOLIS;SÃO PAULO;SP;CINEMARK BRASIL S.A
236;5;3;3;SIM;NÃO;SIM;769 CINEMARK IGUATEMI BRASILIA;BRASÍLIA;DF;CINEMARK BRASIL S.A
235;5;3;3;SIM;NÃO;SIM;759 CINEMARK GUARULHOS;GUARULHOS;SP;CINEMARK BRASIL S.A
235;5;3;3;SIM;NÃO;SIM;702 CINEMARK VITORIA;VITÓRIA;ES;CINEMARK BRASIL S.A
233;5;3;3;SIM;NÃO;SIM;UCI BRASIL - SUMAÚMA PARK SHOPPING;MANAUS;AM;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
231;5;3;3;SIM;NÃO;SIM;2107 CINEMARK RIOMAR RECIFE;RECIFE;PE;CINEMARK BRASIL S.A
230;5;3;3;SIM;NÃO;SIM;CINÉPOLIS SHOPPING CERRADO;GOIÂNIA;GO;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
225;5;3;3;SIM;NÃO;SIM;UCI BRASIL - SUMAÚMA PARK SHOPPING;MANAUS;AM;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
223;5;3;3;SIM;NÃO;SIM;681 CINEMARK NATAL;NATAL;RN;CINEMARK BRASIL S.A
223;5;3;3;NÃO;NÃO;SIM;UCI RIBEIRO - SHOPPING DA ILHA;SÃO LUÍS;MA;UCI RIBEIRO LTDA
223;5;3;3;SIM;NÃO;SIM;684 CINEMARK SANTA CRUZ.;SÃO PAULO;SP;CINEMARK BRASIL S.A
222;5;3;3;SIM;NÃO;SIM;716 CINEMARK ARICANDUVA;SÃO PAULO;SP;CINEMARK BRASIL S.A
221;5;3;3;SIM;NÃO;SIM;785 CINEMARK SALVADOR;SALVADOR;BA;CINEMARK BRASIL S.A
221;5;3;3;SIM;NÃO;SIM;714 CINEMARK INTERLAGOS;SÃO PAULO;SP;CINEMARK BRASIL S.A
218;5;3;3;SIM;NÃO;SIM;688 CINEMARK MARKET PLACE;SÃO PAULO;SP;CINEMARK BRASIL S.A
218;5;3;3;SIM;NÃO;SIM;684 CINEMARK SANTA CRUZ.;SÃO PAULO;SP;CINEMARK BRASIL S.A
217;5;3;3;SIM;NÃO;SIM;769 CINEMARK IGUATEMI BRASILIA;BRASÍLIA;DF;CINEMARK BRASIL S.A
217;5;3;3;SIM;SIM;NÃO;UCI PLAZA SUL;SÃO PAULO;SP;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.
216;5;3;3;SIM;NÃO;SIM;721 CINEMARK HIGIENOPOLIS;SÃO PAULO;SP;CINEMARK BRASIL S.A
211;5;3;3;SIM;NÃO;SIM;714 CINEMARK INTERLAGOS;SÃO PAULO;SP;CINEMARK BRASIL S.A
210;5;3;3;SIM;NÃO;SIM;681 CINEMARK NATAL;NATAL;RN;CINEMARK BRASIL S.A
210;5;3;3;SIM;NÃO;SIM;684 CINEMARK SANTA CRUZ.;SÃO PAULO;SP;CINEMARK BRASIL S.A
202;5;3;3;SIM;NÃO;SIM;694 CINEMARK CAMPO GRANDE;CAMPO GRANDE;MS;CINEMARK BRASIL S.A
198;5;3;3;SIM;NÃO;SIM;714 CINEMARK INTERLAGOS;SÃO PAULO;SP;CINEMARK BRASIL S.A
348;4;3;3;SIM;NÃO;SIM;717 CINEMARK TAMBORE.;BARUERI;SP;CINEMARK BRASIL S.A
345;4;3;3;SIM;NÃO;SIM;CINEPOLIS BELÉM;BELÉM;PA;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
332;4;3;3;SIM;NÃO;SIM;717 CINEMARK TAMBORE.;BARUERI;SP;CINEMARK BRASIL S.A
299;4;3;3;SIM;NÃO;SIM;688 CINEMARK MARKET PLACE;SÃO PAULO;SP;CINEMARK BRASIL S.A
287;4;3;3;SIM;NÃO;SIM;718 CINEMARK TAGUATINGA.;BRASÍLIA;DF;CINEMARK BRASIL S.A
283;4;3;3;SIM;NÃO;SIM;711 CINEMARK TATUAPE;SÃO PAULO;SP;CINEMARK BRASIL S.A
282;4;3;3;SIM;NÃO;SIM;692 CINEMARK CARIOCA;RIO DE JANEIRO;RJ;CINEMARK BRASIL S.A
279;4;3;3;SIM;NÃO;SIM;662 CINEMARK SHOPPING RAPOSO TAVARES;SÃO PAULO;SP;CINEMARK BRASIL S.A
271;4;3;3;SIM;NÃO;SIM;725 CINEMARK CAMPINAS;CAMPINAS;SP;CINEMARK BRASIL S.A
254;4;3;3;SIM;NÃO;SIM;768 CINEMARK BH SHOPPING;BELO HORIZONTE;MG;CINEMARK BRASIL S.A
251;4;3;3;SIM;NÃO;SIM;663 CINEMARK GRANJA VIANA;COTIA;SP;CINEMARK BRASIL S.A
249;4;3;3;SIM;NÃO;SIM;703 CINEMARK FLORIANOPOLIS .;FLORIANÓPOLIS;SC;CINEMARK BRASIL S.A
248;4;3;3;SIM;NÃO;SIM;719 CINEMARK DOWNTOWN;RIO DE JANEIRO;RJ;CINEMARK BRASIL S.A
245;4;3;3;SIM;NÃO;SIM;698 CINEMARK MUELLER;CURITIBA;PR;CINEMARK BRASIL S.A
240;4;3;3;SIM;NÃO;SIM;696 CINEMARK CENTERVALE;SÃO JOSÉ DOS CAMPOS;SP;CINEMARK BRASIL S.A
238;4;3;3;SIM;NÃO;SIM;768 CINEMARK BH SHOPPING;BELO HORIZONTE;MG;CINEMARK BRASIL S.A
237;4;3;3;SIM;NÃO;SIM;768 CINEMARK BH SHOPPING;BELO HORIZONTE;MG;CINEMARK BRASIL S.A
237;4;3;3;SIM;NÃO;SIM;709 CINEMARK PRAIAMAR;SANTOS;SP;CINEMARK BRASIL S.A
235;4;3;3;SIM;NÃO;SIM;719 CINEMARK DOWNTOWN;RIO DE JANEIRO;RJ;CINEMARK BRASIL S.A
229;4;3;3;SIM;NÃO;SIM;698 CINEMARK MUELLER;CURITIBA;PR;CINEMARK BRASIL S.A
226;4;3;3;SIM;NÃO;SIM;713 CINEMARK ABC PLAZA;SANTO ANDRÉ;SP;CINEMARK BRASIL S.A
225;4;3;3;SIM;NÃO;SIM;718 CINEMARK TAGUATINGA.;BRASÍLIA;DF;CINEMARK BRASIL S.A
225;4;3;3;SIM;NÃO;SIM;690 CINEMARK BOULEVARD TATUAPÉ;SÃO PAULO;SP;CINEMARK BRASIL S.A
223;4;3;3;SIM;NÃO;SIM;725 CINEMARK CAMPINAS;CAMPINAS;SP;CINEMARK BRASIL S.A
223;4;3;3;SIM;NÃO;SIM;688 CINEMARK MARKET PLACE;SÃO PAULO;SP;CINEMARK BRASIL S.A
222;4;3;3;SIM;NÃO;SIM;725 CINEMARK CAMPINAS;CAMPINAS;SP;CINEMARK BRASIL S.A
220;4;3;3;SIM;NÃO;SIM;682 CINEMARK CIDADE JARDIM;SÃO PAULO;SP;CINEMARK BRASIL S.A
216;4;3;3;SIM;NÃO;SIM;723 CINEMARK PAULISTA;SÃO PAULO;SP;CINEMARK BRASIL S.A
215;4;3;3;SIM;NÃO;SIM;767 - CINEMARK DIAMOND;BELO HORIZONTE;MG;CINEMARK BRASIL S.A
211;4;3;3;SIM;NÃO;SIM;717 CINEMARK TAMBORE.;BARUERI;SP;CINEMARK BRASIL S.A
210;4;3;3;SIM;NÃO;SIM;2100 CINEMARK PARK SHOPPING SÃO CAETANO;SÃO CAETANO DO SUL;SP;CINEMARK BRASIL S.A
208;4;3;3;SIM;NÃO;SIM;CINE SÃO JOSÉ;CAFELÂNDIA;SP;MUNICÍPIO DE CAFELÂNDIA (SP)
207;4;3;3;SIM;NÃO;SIM;703 CINEMARK FLORIANOPOLIS .;FLORIANÓPOLIS;SC;CINEMARK BRASIL S.A
204;4;3;3;SIM;NÃO;SIM;755 CINEMARK RIOMAR;ARACAJU;SE;CINEMARK BRASIL S.A
203;4;3;3;SIM;NÃO;SIM;697 CINEMARK SAVASSI.;BELO HORIZONTE;MG;CINEMARK BRASIL S.A
203;4;3;3;SIM;NÃO;SIM;691 CINEMARK NITEROI;NITERÓI;RJ;CINEMARK BRASIL S.A
202;4;3;3;SIM;NÃO;SIM;696 CINEMARK CENTERVALE;SÃO JOSÉ DOS CAMPOS;SP;CINEMARK BRASIL S.A
201;4;3;3;SIM;NÃO;SIM;687 CINEMARK SHOPPING D;SÃO PAULO;SP;CINEMARK BRASIL S.A
198;4;3;3;SIM;NÃO;SIM;712 CINEMARK COLINAS;SÃO JOSÉ DOS CAMPOS;SP;CINEMARK BRASIL S.A
194;4;3;3;SIM;NÃO;SIM;723 CINEMARK PAULISTA;SÃO PAULO;SP;CINEMARK BRASIL S.A
186;4;3;3;SIM;NÃO;SIM;KINOPLEX PARQUE DA CIDADE;SÃO PAULO;SP;EMPRESA CINEMAS SÃO LUIZ S/A
178;4;3;3;SIM;NÃO;NÃO;PREMIER BARREIRAS;BARREIRAS;BA;HENKES E RIBEIRO BARREIRAS LTDA
142;4;3;3;SIM;NÃO;SIM;723 CINEMARK PAULISTA;SÃO PAULO;SP;CINEMARK BRASIL S.A
136;4;3;3;SIM;NÃO;SIM;723 CINEMARK PAULISTA;SÃO PAULO;SP;CINEMARK BRASIL S.A
121;4;3;3;SIM;NÃO;SIM;CINÉPOLIS SÃO BERNARDO;SÃO BERNARDO DO CAMPO;SP;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
117;4;3;3;NÃO;NÃO;SIM;MOBI CINE PARACATU;PARACATU;MG;LEMOS & MORAIS LTDA - ME
114;4;3;3;SIM;NÃO;SIM;MOBI CINE PARACATU;PARACATU;MG;LEMOS & MORAIS LTDA - ME
112;4;3;3;SIM;NÃO;SIM;723 CINEMARK PAULISTA;SÃO PAULO;SP;CINEMARK BRASIL S.A
94;4;3;3;NÃO;NÃO;SIM;MOBI CINE PARACATU;PARACATU;MG;LEMOS & MORAIS LTDA - ME
303;3;3;3;SIM;NÃO;SIM;KINOPLEX GRANDE RIO;SÃO JOÃO DE MERITI;RJ;EMPRESA CINEMAS SÃO LUIZ S/A
301;3;3;3;SIM;NÃO;SIM;728 CINEMARK BOTAFOGO;RIO DE JANEIRO;RJ;CINEMARK BRASIL S.A
293;3;3;3;SIM;SIM;SIM;CINE ARTE UFF;NITERÓI;RJ;UNIVERSIDADE FEDERAL FLUMINENSE
290;3;3;3;SIM;NÃO;SIM;728 CINEMARK BOTAFOGO;RIO DE JANEIRO;RJ;CINEMARK BRASIL S.A
273;3;3;3;SIM;SIM;NÃO;CINE SÃO JOAQUIM;GOIÁS;GO;SECRETARIA DE ESTADO DA CULTURA DE GOIÁS
269;3;3;3;SIM;NÃO;SIM;CINÉPOLIS NORTE SUL;CAMPO GRANDE;MS;CINEPOLIS OPERADORA DE CINEMAS DO BRASIL LTDA
251;3;3;3;SIM;NÃO;SIM;663 CINEMARK GRANJA VIANA;COTIA;SP;CINEMARK BRASIL S.A
